stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
4-1229,1229,De Brosses,47.32412,5.03689,1
4-208,208,Poincaré,47.32888,5.058868,0
4-263,263,Mairey,47.300228,5.016564,0
4-262,262,Gambetta,47.298,5.013753,0
4-258,258,Foussets,47.288696,5.006158,0
4-257,257,Curie,47.286243,5.003747,1
4-256,256,Bicentenaire,47.285286,5.005776,1
4-278,278,Drapeau,47.333054,5.044054,0
4-1357,1357,Richet,47.306335,5.015614,1
4-719,719,Pommard,47.307995,5.018542,0
4-664,664,Roussottes,47.312279,5.006965,1
4-519,519,Croix des Valendons,47.300896,5.007984,1
4-518,518,Renan,47.299198,5.005888,1
4-517,517,Collège Chapitre,47.296425,5.004347,1
4-1439,1439,Bouteiller,47.326542,5.068704,1
4-1071,1071,Champ Prieur,47.330654,5.092639,1
4-1073,1073,Bons Compagnons,47.331539,5.0914,0
4-379,379,Paquier d'Aupré,47.331764,5.087175,1
4-372,372,Jacquat,47.331429,5.085027,1
4-483,483,Gauthier,47.331047,5.082505,1
4-366,366,Castelnau,47.329708,5.074506,0
4-178,178,SNCF Brifaut,47.32439,5.027585,0
4-177,177,Bagatelle,47.323502,5.022894,0
4-176,176,Perrières,47.322964,5.019267,0
4-174,174,Marmuzots,47.328197,5.012526,1
4-173,173,Fontaine aux Fées,47.329483,5.010605,1
4-172,172,Libération,47.33231,5.011382,1
4-781,781,Cottages,47.333141,5.008855,0
4-170,170,Côte aux Moines,47.337734,5.009191,1
4-169,169,Arbalétriers,47.338116,5.003622,0
4-168,168,Logis de Bourgogne,47.338718,4.998502,0
4-560,560,D'Arbaumont,47.313358,5.054782,1
4-561,561,Petites Roches,47.313213,5.057925,1
4-275,275,Mazen Sully,47.31477,5.076652,0
4-835,835,CREPS,47.311638,5.08074,1
4-1070,1070,Gendarmerie,47.317204,5.121289,1
4-1069,1069,Croix St-Martin,47.315228,5.121478,1
4-98,98,Quetignerot,47.309551,5.107908,1
4-99,99,Atria,47.308289,5.110185,1
4-198,198,QUETIGNY Centre La Parenthèse,47.313709,5.109751,0
4-1068,1068,Quetigny Mairie,47.312298,5.116057,0
4-1366,1366,IUT,47.309906,5.068807,0
4-421,421,Piscine Olympique,47.314297,5.082571,1
4-1365,1365,21ème Siècle,47.30925,5.071393,1
4-89,89,Boulanger,47.317139,5.063975,1
4-88,88,Défense,47.317238,5.060975,1
4-87,87,Creux d'Enfer,47.317486,5.058394,1
4-1603,1603,Lycée H. Fontaine,47.319145,5.051741,1
4-84,84,Lycée H. Fontaine,47.31871,5.05029,1
4-1308,1308,Champs Viaux,47.3508,4.998084,1
